participantID,trialNum,vis,truePercent,reportedPercent
1.61421E+12,1,Pie Chart,58.33333333,60
1.61421E+12,2,Pie Chart,77.77777778,80
1.61421E+12,3,Bar Graph,44.11764706,50
1.61421E+12,4,Stacked Bar Chart,90.90909091,100
1.61421E+12,5,Stacked Bar Chart,37.5,25
1.61421E+12,6,Bar Graph,86.79245283,85
1.61421E+12,7,Pie Chart,31.57894737,40
1.61421E+12,8,Pie Chart,84.61538462,90
1.61421E+12,9,Pie Chart,37.03703704,33
1.61421E+12,10,Stacked Bar Chart,92.30769231,100
1.61421E+12,11,Bar Graph,48,40
1.61421E+12,12,Stacked Bar Chart,48.57142857,50
1.61421E+12,13,Pie Chart,81.25,80
1.61421E+12,14,Bar Graph,48.71794872,50
1.61421E+12,15,Pie Chart,26.66666667,20
1.61421E+12,16,Pie Chart,10.71428571,5
1.61421E+12,17,Stacked Bar Chart,40,25
1.61421E+12,18,Stacked Bar Chart,23.52941176,20
1.61421E+12,19,Stacked Bar Chart,39.28571429,50
1.61421E+12,20,Stacked Bar Chart,43.24324324,45
1.61421E+12,21,Pie Chart,33.33333333,26
1.61421E+12,22,Pie Chart,82.35294118,90
1.61421E+12,23,Stacked Bar Chart,87.5,80
1.61421E+12,24,Pie Chart,90.90909091,95
1.61421E+12,25,Bar Graph,40.98360656,46
1.61421E+12,26,Bar Graph,20.89552239,20
1.61421E+12,27,Bar Graph,58.18181818,60
1.61421E+12,28,Stacked Bar Chart,76.92307692,80
1.61421E+12,29,Stacked Bar Chart,14.28571429,10
1.61421E+12,30,Pie Chart,61.53846154,66
1.61421E+12,31,Bar Graph,56.79012346,60
1.61421E+12,32,Bar Graph,92.10526316,95
1.61421E+12,33,Bar Graph,21.27659574,18
1.61421E+12,34,Pie Chart,60,50
1.61421E+12,35,Bar Graph,94.18604651,95
1.61421E+12,36,Bar Graph,44.73684211,40
1.61421E+12,37,Pie Chart,73.33333333,66
1.61421E+12,38,Pie Chart,62.5,55
1.61421E+12,39,Bar Graph,16.49484536,18
1.61421E+12,40,Stacked Bar Chart,66.66666667,66
1.61421E+12,41,Stacked Bar Chart,84.61538462,85
1.61421E+12,42,Stacked Bar Chart,75,40
1.61421E+12,43,Pie Chart,18.75,15
1.61421E+12,44,Bar Graph,36.84210526,36
1.61421E+12,45,Stacked Bar Chart,48.57142857,45
1.61421E+12,46,Pie Chart,71.42857143,85
1.61421E+12,47,Pie Chart,33.33333333,25
1.61421E+12,48,Bar Graph,93.75,100
1.61421E+12,49,Pie Chart,25,20
1.61421E+12,50,Bar Graph,73.91304348,80
1.61421E+12,51,Bar Graph,20,20
1.61421E+12,52,Pie Chart,25,20
1.61421E+12,53,Bar Graph,71.01449275,75
1.61421E+12,54,Stacked Bar Chart,25,18
1.61421E+12,55,Bar Graph,91.91919192,94
1.61421E+12,56,Stacked Bar Chart,85.71428571,80
1.61421E+12,57,Stacked Bar Chart,83.33333333,75
1.61421E+12,58,Stacked Bar Chart,91.66666667,85
1.61421E+12,59,Bar Graph,73.01587302,70
1.61421E+12,60,Bar Graph,73.01587302,60
